rebal_date,n_themes_selected,n_stocks_selected,filter_type,port_return,kospi_return,excess_return
20250106,2,16,전체,-0.011171965618066973,0.001390317603188862,-0.012562283221255835
20250107,2,10,전체,0.02071114499225838,0.011616708799807585,0.009094436192450796
20250108,2,20,전체,0.006277396346298381,0.0003371611035083433,0.0059402352427900375
20250109,2,1,-1%이하,0.0007739938080495357,-0.002426741742337035,0.003200735550386571
20250110,2,26,전체,0.010175538598902339,-0.010422214979052269,0.020597753577954608
20250113,2,2,-1%이하,-0.002613240418118467,0.003149150853966276,-0.005762391272084743
20250114,2,26,전체,-0.011521378683548208,-0.00023624569552338492,-0.011285132988024823
20250115,2,26,전체,0.02897038364564345,0.012287679078504032,0.01668270456713942
20250116,2,1,-1%이하,-0.02900763358778626,-0.0015588587887586103,-0.02744877479902765
20250117,2,21,전체,0.021771315239306133,-0.0013869350716252393,0.023158250310931373
20250120,2,3,-1%이하,0.0020833668056622814,-0.0008015713973928973,0.0028849382030551787
20250121,2,10,전체,-0.021992110535711363,0.011528853905632408,-0.03352096444134377
20250122,2,24,전체,-0.02022622407319533,-0.012394682496682519,-0.00783154157651281
20250123,2,7,-3%이하,0.02418526434857708,0.008471510520813297,0.01571375382776378
20250124,2,19,전체,-0.011283959372495288,-0.007659255755282368,-0.0036247036172129196
20250131,2,1,-1%이하,-0.02346938775510204,-0.025192959318654062,0.0017235715635520212
20250203,2,7,-3%이하,0.029666677735149635,0.011304223802441005,0.01836245393270863
20250204,2,11,전체,-0.018382235115945986,0.011113394501327756,-0.02949562961727374
20250205,2,24,전체,0.016800303189914014,0.010951392237583013,0.005848910952331001
20250206,2,22,전체,-0.005277473547550811,-0.005846062875726754,0.0005685893281759434
20250207,2,13,전체,0.012797678659304274,-0.0002577401345007502,0.013055418793805024
20250210,2,1,-1%이하,-0.02535211267605634,0.007052001570637012,-0.03240411424669335
20250211,2,15,전체,-0.0008021298499218474,0.0036785411866642193,-0.004480671036586067
20250212,2,35,전체,0.012590587672382927,0.013647832553102202,-0.0010572448807192741
20250213,2,25,전체,-0.008953014493884099,0.0030505154519446798,-0.012003529945828779
20250214,2,23,전체,0.02351238530954066,0.007475733775882398,0.016036651533658262
20250217,2,9,전체,0.007474221516185762,0.006278683123788431,0.001195538392397331
20250218,2,17,전체,-0.0057285172313359944,0.017020644812529184,-0.02274916204386518
20250219,2,15,전체,-0.025731520398078054,-0.006535605198538685,-0.01919591519953937
20250220,2,18,전체,-0.002340135091264393,0.0001959262413058216,-0.0025360613325702145
20250221,2,9,전체,0.0003288273252013426,-0.003507146139879014,0.0038359734650803565
20250224,2,9,전체,-0.008902824087725917,-0.005662937998767603,-0.003239886088958314
20250225,2,2,-1%이하,-0.004598854042727719,0.0041060111242487984,-0.008704865166976519
20250226,2,1,-1%이하,-0.027637703646237393,-0.00732273417414786,-0.020314969472089533
20250227,2,1,-1%이하,-0.010348071495766699,-0.03393534852674729,0.02358727703098059
20250228,2,24,-3%이하,0.020438102232302344,-0.0015240170879429193,0.021962119320245263
20250304,2,1,-3%이하,0.07482014388489208,0.011550385144646791,0.06326975874024529
20250305,2,21,전체,-0.012022586716672038,0.007048117179345725,-0.01907070389601776
20250306,2,16,전체,0.027757095763157838,-0.0049220545307744334,0.03267915029393227
20250307,2,1,-1%이하,0.0025693730729701952,0.0026955544806277487,-0.0001261814076575535
20250310,2,10,전체,-0.014670961657232192,-0.012756819004119957,-0.001914142653112235
20250311,2,1,-3%이하,0.0049833887043189366,0.014667402269861407,-0.00968401356554247
20250312,2,30,전체,-0.016019072141061037,-0.00045828446260332,-0.015560787678457717
20250313,2,11,전체,0.03835283397071504,-0.0028286784476460047,0.041181512418361044
20250314,2,12,전체,-0.005259524203555507,0.017273492417275715,-0.022533016620831223
20250317,2,1,-3%이하,0.04610318331503842,0.0006320168231388479,0.04547116649189957
20250318,2,11,전체,-0.018048000874983917,0.006231960617683718,-0.024279961492667635
20250319,2,32,전체,-0.0018387226729871648,0.0032260273451469867,-0.005064750018134152
20250320,2,2,-3%이하,-0.006867094663952538,0.0022866027075196804,-0.009153697371472218
20250321,2,7,전체,-0.008467638737331588,-0.004184432850446229,-0.0042832058868853586
20250324,2,9,전체,-0.009582796235647614,-0.0061776472510229885,-0.003405148984624625
20250325,2,11,전체,0.003992931165939981,0.010753839154984624,-0.006760907989044642
20250326,2,11,전체,-0.008900829506406392,-0.013914839217228803,0.005014009710822411
20250327,2,1,-3%이하,-0.060350877192982454,-0.0188596743570566,-0.041491202835925854
20250328,2,2,-3%이하,-0.048984550551799906,-0.030047146576595685,-0.01893740397520422
20250331,2,7,-3%이하,0.027468686736099052,0.016230573289482075,0.011238113446616977
20250401,2,15,전체,-0.013082390036325298,-0.006159301020468799,-0.006923089015856499
20250402,2,2,-3%이하,-0.01312989151513812,-0.007646077594119505,-0.005483813921018616
20250403,2,1,-3%이하,0.2984723854289072,-0.008557526038524887,0.3070299114674321
20250404,2,14,전체,0.10998838925378762,-0.055657859512780905,0.16564624876656853
20250407,2,16,-3%이하,-0.0012643634876111328,0.0025899836783782604,-0.0038543471659893934
20250408,2,16,전체,-0.04422921446974126,-0.017363327521281224,-0.026865886948460038
20250409,2,8,-3%이하,0.059285984604262355,0.06598944936129403,-0.006703464757031673
20250410,2,25,전체,0.005662593513384917,-0.00504691091425169,0.010709504427636607
20250411,2,14,전체,0.014736334688030468,0.009524318458351111,0.005212016229679357
20250414,2,12,전체,-0.0017656611687109018,0.008762607445773174,-0.010528268614484075
20250415,2,19,전체,-0.024638501740244907,-0.012101347778526783,-0.012537153961718124
20250416,2,4,-3%이하,0.022647982645851127,0.009389441168899726,0.0132585414769514
20250417,2,18,전체,-0.011286593694195237,0.0052663323092119185,-0.016552926003407156
20250418,2,20,전체,0.010713518188276648,0.0020133525541390362,0.008700165634137612
20250421,2,1,-3%이하,-0.03278688524590164,-0.0007153133313508864,-0.032071571914550755
20250422,2,1,-3%이하,0.03125,0.015651642376862007,0.015598357623137993
20250423,2,21,전체,-0.010885301009669555,-0.0012789242781798826,-0.009606376731489672
20250424,2,12,전체,0.02736865595699066,0.009503118148695977,0.017865537808294682
20250425,2,17,전체,-0.010793332843483959,0.0010053803558103258,-0.011798713199294285
20250428,2,1,-1%이하,0.05170387779083431,0.006497022198159064,0.045206855592675246
20250429,2,21,전체,-0.011638353828818022,-0.0034341355411589003,-0.008204218287659121
20250430,2,14,전체,-0.004371312277107486,0.0012438346091112606,-0.0056151468862187465
20250502,2,1,-1%이하,0.007751937984496124,0.005473105215662244,0.00227883276883388
20250507,2,17,전체,-0.01032633064233155,0.002206853679384446,-0.012533184321715997
20250508,2,30,전체,-0.004410739232774437,-0.0008567618279653466,-0.0035539774048090906
20250509,2,6,-3%이하,0.033308749447767,0.011663504405824643,0.02164524504194236
20250512,2,14,전체,-0.015365591834345256,0.0004180521836514295,-0.015783644017996687
20250513,2,1,-3%이하,-0.01600985221674877,0.01232546905789711,-0.02833532127464588
20250514,2,2,-1%이하,-0.01294286126889381,-0.0072749444248779715,-0.005667916844015838
20250515,2,13,-3%이하,0.009088660110483184,0.002101962340159247,0.006986697770323937
20250516,2,1,-3%이하,-0.004524886877828055,-0.008926973927145143,0.0044020870493170884
20250519,2,13,전체,-0.001659495336494769,-0.000622258413932375,-0.001037236922562394
20250520,2,1,-1%이하,-0.02093244529019981,0.009139826274117802,-0.03007227156431761
20250521,2,27,전체,-0.007175424344727939,-0.012153505130295006,0.004978080785567067
20250522,2,1,-3%이하,0.0969807868252516,-0.0006091754155308493,0.09758996224078245
20250523,2,3,-1%이하,0.01406185496510929,0.020180626444297856,-0.006118771479188566
20250526,2,9,전체,-0.0005446379776252318,-0.0027151716835578377,0.002170533705932606
20250527,2,4,-3%이하,-0.0023465244739999174,0.012486633652103452,-0.01483315812610337
20250528,2,1,-1%이하,0.012659380692167578,0.018909050053367737,-0.006249669361200159
20250529,2,26,전체,-0.003589170566597195,-0.008442866384380077,0.004853695817782881
20250530,2,14,전체,-0.00934853959044867,0.00048189734103853965,-0.00983043693148721
20250602,2,8,전체,0.11438100508910774,0.026628676865619205,0.08775232822348854
20250604,2,26,전체,0.02631037506751282,0.014872746170836226,0.011437628896676592
20250605,2,10,전체,0.03781159193234477,0.015547376469123853,0.022264215463220917
20250609,2,35,전체,0.027459167493596847,0.005630705554018789,0.021828461939578058
20250610,2,1,-3%이하,-0.01273116391373539,0.012253425492278591,-0.02498458940601398
20250611,2,24,전체,-0.003995402830219384,0.004468462766250347,-0.008463865596469732
20250612,2,17,전체,0.04630272463354664,-0.00870196539076662,0.05500469002431326
20250613,2,1,-1%이하,0.019099590723055934,0.017978180210183048,0.0011214105128728863
20250616,2,29,전체,-0.009524213820298796,0.001235296912436512,-0.010759510732735308
20250617,2,1,-3%이하,-0.037783375314861464,0.007419584449039007,-0.04520295976390047
20250618,2,17,전체,0.0012950304859908233,0.001867309963360153,-0.0005722794773693298
20250619,2,20,전체,0.002227840582398366,0.014809889379193697,-0.012582048796795331
20250620,2,12,전체,-0.01187837049661858,-0.0024389113917349103,-0.00943945910488367
20250623,2,9,전체,-0.06440810078317821,0.029580655969374314,-0.09398875675255253
20250624,2,16,전체,-0.007697904492225856,0.0014853526826565933,-0.009183257174882449
20250625,2,2,-1%이하,-0.01805778445336638,-0.009230274270087713,-0.008827510183278667
20250626,2,5,-3%이하,-0.008200557920818259,-0.007669926872670096,-0.0005306310481481627
20250627,2,9,-3%이하,-0.017721872842044753,0.0051571693161514,-0.022879042158196153
20250630,2,9,전체,0.0005033540928882027,0.005843669629195691,-0.005340315536307489
20250701,2,13,전체,-0.008921822636498574,-0.004722217726927047,-0.004199604909571527
20250702,2,1,-1%이하,0.010903426791277258,0.013401364526220538,-0.0024979377349432803
20250703,2,20,전체,-0.0087158206629162,-0.01989237132854338,0.011176550665627179
20250704,2,7,-3%이하,0.0220948723989318,0.0016992548161922638,0.020395617582739535
20250707,2,10,전체,0.014158630448125634,0.018133859786172213,-0.003975229338046579
20250708,2,15,전체,0.013718397181445241,0.006032199553764883,0.007686197627680358
20250709,2,25,전체,0.027823781095364673,0.01579263116914631,0.012031149926218364
20250710,2,14,전체,0.019302240748575932,-0.0023435315701347825,0.021645772318710715
20250711,2,17,전체,0.036178683394698874,0.008268860780220377,0.027909822614478497
20250714,2,16,전체,-0.0008859783256382418,0.004137999956277838,-0.00502397828191608
20250715,2,30,전체,0.004304409232582219,-0.00898833072080818,0.0132927399533904
20250716,2,1,-3%이하,-0.007032348804500703,0.001854769362097386,-0.008887118166598089
20250717,2,39,전체,-0.0026425673066899765,-0.0013219350372302152,-0.0013206322694597613
20250718,2,1,-3%이하,0.0036496350364963502,0.007132842127054895,-0.0034832070905585445
20250721,2,17,전체,-0.012382930671527166,-0.012728875268234408,0.0003459445967072417
20250722,2,4,-3%이하,-0.013113507696167375,0.004362858603002007,-0.017476366299169384
20250723,2,10,전체,0.002182662699836195,0.0020981415114784685,8.452118835772671e-05
20250724,2,3,-1%이하,-0.004298355402073721,0.0017552382892696006,-0.0060535936913433215
20250725,2,19,전체,-0.01826303202169539,0.004214577368939709,-0.0224776093906351
20250728,2,2,-1%이하,0.004103804772495041,0.006558613125950297,-0.0024548083534552557
20250729,2,3,-1%이하,0.0009174467637220927,0.0073980752622602175,-0.006480628498538124
20250730,2,10,전체,-0.04210935368642848,-0.002774645333955994,-0.039334708352472485
20250731,2,34,전체,-0.015024993387146086,-0.03883294715046348,0.023807953763317395
20250801,2,25,-3%이하,0.019487341675389652,0.009085051339836836,0.010402290335552816
20250804,2,13,전체,0.0012460233052436482,0.015963783654991737,-0.014717760349748088
20250805,2,16,전체,0.01293619590980352,4.377736085059425e-05,0.012892418548952926
20250806,2,1,-1%이하,0.019178082191780823,0.009236618784668638,0.009941463407112185
20250807,2,31,전체,-0.005974313437110304,-0.0054745203985524515,-0.0004997930385578523
20250808,2,3,-1%이하,0.01999443052074631,-0.0010093426500229485,0.02100377317076926
20250811,2,49,전체,-0.013751335383720474,-0.005257626833230944,-0.00849370855048953
