theme_no,테마명,등락률,평균등락률,상승종목수,보합종목수,하락종목수,Beta,베타조정수익률,코스피지수,코스피등락,코스피등락률,코스피조회시간
492,NFT(대체불가토큰),5.58,-1.52,20,0,0,0.546574,0.9013265599999993,"5,485.03",432.57,8.56,2026-04-01 15:07:25
493,mRNA(메신저 리보핵산),5.55,-1.48,12,1,0,-0.002494,5.57134864,"5,485.03",432.57,8.56,2026-04-01 15:07:25
8,화폐/금융자동화기기(디지털화폐 등),5.5,-1.26,10,0,0,0.425976,1.8536454399999998,"5,485.03",432.57,8.56,2026-04-01 15:07:25
106,바이오인식(생체인식),5.5,-2.01,19,0,0,0.327651,2.6953074399999997,"5,485.03",432.57,8.56,2026-04-01 15:07:25
112,공기청정기,5.47,-1.45,11,0,1,0.377729,2.2366397599999996,"5,485.03",432.57,8.56,2026-04-01 15:07:25
9,OLED(유기 발광 다이오드),5.44,-1.77,73,1,6,0.525413,0.9424647200000003,"5,485.03",432.57,8.56,2026-04-01 15:07:25
590,2026 상반기 신규상장,5.42,-1.05,13,0,1,0.5,1.1399999999999997,"5,485.03",432.57,8.56,2026-04-01 15:07:25
302,음성인식,5.32,-1.67,11,0,0,0.300744,2.74563136,"5,485.03",432.57,8.56,2026-04-01 15:07:25
94,조선기자재,5.25,-2.0,33,0,2,0.644782,-0.2693339200000002,"5,485.03",432.57,8.56,2026-04-01 15:07:25
480,메타버스(Metaverse),5.25,-1.73,48,0,1,0.46086,1.3050384,"5,485.03",432.57,8.56,2026-04-01 15:07:25
567,밸류업(24년 기업가치 제고계획 발표),5.25,-1.56,89,0,2,0.438052,1.5002748799999996,"5,485.03",432.57,8.56,2026-04-01 15:07:25
332,스마트카(SMART CAR),5.23,-1.07,12,0,1,0.453456,1.34841664,"5,485.03",432.57,8.56,2026-04-01 15:07:25
566,딥페이크(deepfake),5.18,-1.41,13,1,0,0.457181,1.2665306399999996,"5,485.03",432.57,8.56,2026-04-01 15:07:25
49,인터넷 대표주,5.14,-1.78,2,0,0,0.654288,-0.4607052800000009,"5,485.03",432.57,8.56,2026-04-01 15:07:25
104,스마트홈(홈네트워크),5.13,-0.45,22,0,1,0.288624,2.65937856,"5,485.03",432.57,8.56,2026-04-01 15:07:25
227,전기차,5.12,-1.3,91,1,6,0.560405,0.3229331999999996,"5,485.03",432.57,8.56,2026-04-01 15:07:25
511,니켈,5.1,-0.97,14,0,0,0.35488,2.0622271999999997,"5,485.03",432.57,8.56,2026-04-01 15:07:25
571,밸류업(25년 기업가치 제고계획 발표),5.08,-1.55,79,0,6,0.456112,1.1756812799999996,"5,485.03",432.57,8.56,2026-04-01 15:07:25
342,핀테크(FinTech),5.07,-1.56,33,0,0,0.473814,1.01415216,"5,485.03",432.57,8.56,2026-04-01 15:07:25
507,마이데이터,5.07,-1.55,11,0,0,0.305335,2.4563324,"5,485.03",432.57,8.56,2026-04-01 15:07:25
30,조선,5.06,-2.01,5,0,2,0.420477,1.4607168799999997,"5,485.03",432.57,8.56,2026-04-01 15:07:25
298,희귀금속(희토류 등),5.06,-0.83,15,0,1,0.148761,3.7866058399999996,"5,485.03",432.57,8.56,2026-04-01 15:07:25
497,토스(toss),5.05,-1.32,6,0,0,0.460279,1.1100117599999995,"5,485.03",432.57,8.56,2026-04-01 15:07:25
579,2차전지(나트륨이온),5.05,1.29,9,0,0,0.716009,-1.0790370400000002,"5,485.03",432.57,8.56,2026-04-01 15:07:25
582,스테이블코인,5.04,-1.53,25,0,0,0.66569,-0.6583064000000007,"5,485.03",432.57,8.56,2026-04-01 15:07:25
319,화학섬유,5.02,-1.28,5,0,1,0.128588,3.9192867199999997,"5,485.03",432.57,8.56,2026-04-01 15:07:25
121,남북경협,5.01,-1.35,27,0,2,0.350191,2.0123650399999997,"5,485.03",432.57,8.56,2026-04-01 15:07:25
