BaseDate,SellDate,leader,n_selected,n_priced,basket_return,win,top_codes,year
2008-02-15,2008-02-22,CP_Q,10,10,-0.005753839977248198,0,"A000020,A021320,A025000,A024110,A023590,A023530,A023410,A023160,A022100,A021240",2008
2008-02-22,2008-02-29,CP_V,10,10,0.015318861322804245,1,"A001230,A003690,A051910,A001210,A047080,A064960,A012750,A032640,A005440,A069960",2008
2008-02-29,2008-03-07,CP_LV,10,8,-0.03378582816411231,0,"A093370,A013580,A013240,A022100,A002630,A009540,A016580,A001230,A042670,A001940",2008
2008-03-07,2008-03-14,CP_LV,10,9,-0.021748286557439395,0,"A036830,A021240,A003620,A001270,A000050,A017940,A009970,A056200,A018880,A003480",2008
2008-03-14,2008-03-21,CP_G,10,6,-0.0035787812060416404,0,"A023410,A003940,A015760,A005160,A028150,A021240,A005180,A003600,A036490,A000720",2008
2008-03-21,2008-03-28,CP_G,10,9,-0.008624899789416433,0,"A006730,A022100,A032350,A000060,A069260,A096770,A018880,A054950,A034230,A000880",2008
2008-03-28,2008-04-04,CP_V,10,8,0.04076331024013469,1,"A025540,A004690,A016800,A033240,A064420,A033500,A009970,A006840,A013570,A000800",2008
2008-04-04,2008-04-11,CP_LV,10,9,0.01038011888490964,1,"A000990,A058650,A005440,A018880,A073240,A000480,A005850,A005490,A064960,A042100",2008
2008-04-11,2008-04-18,CP_Q,10,10,0.012421906576804065,1,"A000020,A022100,A025540,A025000,A024110,A023590,A023530,A023410,A023160,A021320",2008
2008-04-18,2008-04-25,CP_V,10,6,0.02335605294438207,1,"A028080,A009540,A071660,A011160,A033630,A005490,A069260,A003030,A015860,A010620",2008
2008-04-25,2008-05-02,CP_V,10,10,-0.006670551633754018,0,"A002990,A036830,A000880,A004150,A009830,A047040,A035760,A003570,A011780,A017940",2008
