종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"488770","KODEX 머니마켓액티브","103705","0","0.00","103708.27","103705","103710","103705","1124064","116572628240","7305083905000","7365776258998","70441000","KAP MMF 지수(TR)","119.83","0.01","0.01"
"321410","KODEX 멀티에셋하이인컴(H)","10600","-10","-0.09","10676.11","10600","10685","10600","657","6972590","5300000000","5338054478","500000","Morningstar Multi-Asset High Income 10% Capped Index","1114.75","3.80","0.34"
"337120","KODEX 멀티팩터","26070","-2910","-10.04","25467.42","27440","28195","25470","6358","173897635","15642000000","15280451094","600000","FnGuide 멀티팩터 지수","15913.57","-2157.61","-11.94"
"401470","KODEX 메타버스액티브","8095","-890","-9.91","8057.79","8735","8800","8025","198807","1669753883","76093000000","75340330581","9400000","FnGuide K-메타버스 지수","1108.37","-142.37","-11.38"
"244620","KODEX 모멘텀Plus","17340","-2445","-12.36","17262.01","19400","19405","17260","925","16932295","10404000000","10357208955","600000","FnGuide 모멘텀 Plus 지수","5638.93","-831.17","-12.85"
"275280","KODEX 모멘텀주","28980","-4285","-12.88","29172.48","31640","32670","28940","27145","824515931","20286000000","20420736104","700000","MSCI Korea IMI Momentum Capped","9510.71","-1296.35","-12.00"
"308620","KODEX 미국10년국채선물","12690","90","0.71","12687.17","12665","12740","12635","157257","1996273719","111672000000","112915851715","8800000","S&P 10-Year U.S. Treasury Note Futures KRW(ER)","243.67","1.27","0.53"
"0091C0","KODEX 미국10년국채액티브(H)","10085","0","0.00","10089.80","10085","10110","10080","96509","973761501","162368500000","162445751887","16100000","KAP 미국 국채 10년 지수(총수익)","94.78","-0.17","-0.18"
"484790","KODEX 미국30년국채액티브(H)","8975","-25","-0.28","9019.68","9010","9030","8970","1197896","10780995911","639738000000","623530467201","71280000","KEDI-KAP 미국 국채 20+ 지수(TR)","75.17","-0.31","-0.41"
"304660","KODEX 미국30년국채울트라선물(H)","7765","-15","-0.19","7817.43","7780","7820","7755","263101","2046709398","203443000000","203253137533","26200000","S&P Ultra T-Bond Futures Index(ER)","112.65","-0.26","-0.23"
"304670","KODEX 미국30년국채울트라선물인버스(H)","11440","-10","-0.09","11448.63","11435","11440","11395","59","673865","6864000000","6869180887","600000","S&P Ultra T-Bond Futures Index(ER)","112.65","-0.26","-0.23"
